i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
3969	1297.925	1295.096	22.056	0.277	-2.813	80.673	91.488	117.938	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	83.173	12.416	9.656	2.679	2.96	0.296	0.371	28.945	54.228	0	0	0	0	0	0
3970	1255.916	1255.326	47.607	0.308	1.762	156.991	15.12	972.315	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	217.643	56.031	8.772	2.835	0.311	-1.427	1.454	187.32	30.323	0	0	0	0	0	0
3971	1342.89	1341.485	70.883	1.102	-2.926	79.467	89.523	1187.559	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	162.229	92.123	39.243	1.392	2.5	0.627	-1.708	96.337	65.892	0	0	0	0	0	0
3972	1366.157	1366.088	40.447	2.892	-1.269	163.599	126.0	1126.302	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	204.294	74.407	48.605	0.659	0.662	2.517	-0.101	123.851	80.443	0	0	0	0	0	0
3973	1365.631	1364.974	81.202	0.271	-2.45	303.507	90.074	761.884	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	311.878	89.522	8.326	2.794	2.959	0.695	-2.41	265.514	46.364	0	0	0	0	0	0
3974	1399.67	1399.596	89.449	1.286	-3.045	93.191	92.074	1263.085	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	129.601	74.759	44.839	1.632	2.019	0.62	-0.891	77.38	52.22	0	0	0	0	0	0
3975	1401.678	1401.594	81.567	0.529	2.828	161.743	125.999	1155.359	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	199.564	93.592	44.506	2.29	2.485	0.182	-1.902	125.183	74.381	0	0	0	0	0	0
3976	1192.426	1188.136	57.794	0.655	-1.08	94.888	126.011	1007.532	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	149.66	72.769	32.738	1.702	2.679	1.609	-2.415	76.031	73.629	0	0	0	0	0	0
3977	1402.859	1402.786	76.876	0.415	0.104	190.616	90.047	1146.042	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	209.651	67.986	32.66	2.41	2.822	2.807	-1.955	104.7	104.952	0	0	0	0	0	0
3978	1012.62	937.998	56.825	0.49	-2.726	120.742	88.232	747.873	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	135.621	42.061	32.56	2.307	2.697	1.018	-0.406	59.625	75.996	0	0	0	0	0	0
